"fh_evento","Evento"
"2018-03-09 17:49:34","PET"
"2018-03-09 16:37:26","PER"
"2018-03-09 16:36:33","VAL"
"2018-03-09 16:35:57","PET"
"2018-03-09 16:35:30","PET"
"2018-03-09 16:35:26","PET"
"2018-03-09 16:35:04","PET"
"2018-03-09 16:34:46","PET"
"2018-03-09 15:42:36","PER"
"2018-03-09 15:42:21","VAL"
"2018-03-09 15:41:59","PET"
"2018-03-09 15:41:27","COM"
"2018-03-09 15:41:27","COM"
"2018-03-09 15:37:17","PET"
"2018-03-09 15:36:41","COM"
"2018-03-09 15:36:41","COM"
"2018-03-09 15:31:18","PER"
"2018-03-09 15:31:12","VAL"
"2018-03-09 15:30:55","PET"
"2018-03-09 15:29:44","PET"
"2018-03-09 15:26:34","COM"
"2018-03-09 15:26:33","COM"
"2018-03-09 15:08:11","PER"
"2018-03-09 15:08:03","VAL"
"2018-03-09 15:07:40","PET"
"2018-03-09 15:07:03","COM"
"2018-03-09 15:07:03","COM"
"2018-03-09 14:58:45","PER"
"2018-03-09 14:58:37","VAL"
"2018-03-09 14:58:32","PET"
"2018-03-09 14:52:29","PET"
"2018-03-09 14:52:23","PET"
"2018-03-09 14:52:20","PET"
"2018-03-09 14:46:15","PER"
"2018-03-09 14:46:14","VAL"
"2018-03-09 14:46:13","PET"
"2018-03-09 14:39:47","PET"
"2018-03-09 14:32:01","VAL"
"2018-03-09 14:31:47","PET"
"2018-03-09 14:31:36","ERR"
"2018-03-09 14:31:29","PET"
"2018-03-09 14:28:50","VAL"
"2018-03-09 14:28:23","PET"
"2018-03-09 14:28:11","PET"
"2018-03-09 14:28:09","PET"
"2018-03-09 14:28:00","PET"
"2018-03-09 14:26:28","COM"
"2018-03-09 14:26:28","COM"
"2018-03-09 14:24:36","PER"
"2018-03-09 14:24:10","VAL"
"2018-03-09 14:23:46","PET"
"2018-03-09 14:22:39","VAL"
"2018-03-09 14:22:32","PET"
"2018-03-09 14:22:23","COM"
"2018-03-09 14:22:23","ERR"
"2018-03-09 14:21:58","PER"
"2018-03-09 14:21:47","VAL"
"2018-03-09 14:21:42","PET"
"2018-03-09 14:20:22","VAL"
"2018-03-09 14:20:08","PET"
"2018-03-09 14:20:00","COM"
"2018-03-09 14:19:37","ERR"
"2018-03-09 14:19:37","COM"
"2018-03-09 14:18:58","PET"
"2018-03-09 14:18:38","ERR"
"2018-03-09 14:13:15","PET"
"2018-03-09 14:13:09","PET"
"2018-03-09 14:12:33","VAL"
"2018-03-09 14:12:20","PET"
"2018-03-09 14:11:31","VAL"
"2018-03-09 14:11:31","PET"
"2018-03-09 14:11:31","PER"
"2018-03-09 14:06:14","PER"
"2018-03-09 14:01:50","ERR"
"2018-03-09 13:58:07","COM"
"2018-03-09 13:56:58","COM"
"2018-03-09 13:56:57","ERR"
"2018-03-09 13:51:23","PER"
"2018-03-09 13:51:18","PER"
"2018-03-09 13:49:37","ERR"
"2018-03-09 13:49:37","COM"
"2018-03-09 13:49:09","PER"
"2018-03-09 13:48:53","PER"
"2018-03-09 13:47:00","PER"
"2018-03-09 13:44:44","PER"
"2018-03-09 13:44:24","PER"
"2018-03-09 13:42:40","PER"
"2018-03-09 13:39:55","PER"
"2018-03-09 13:39:44","VAL"
"2018-03-09 13:39:36","PET"
"2018-03-09 13:38:14","COM"
"2018-03-09 13:38:13","ERR"
"2018-03-09 13:37:53","ERR"
"2018-03-09 13:37:53","COM"
"2018-03-09 13:37:28","PER"
"2018-03-09 13:23:56","PER"
"2018-03-09 13:23:56","PER"
"2018-03-09 13:23:54","VAL"
"2018-03-09 13:23:54","VAL"
"2018-03-09 13:23:54","PER"
"2018-03-09 13:23:53","PET"
"2018-03-09 13:23:53","VAL"
"2018-03-09 13:23:53","PET"
"2018-03-09 13:23:52","PER"
"2018-03-09 13:23:50","VAL"
"2018-03-09 13:23:50","PET"
"2018-03-09 13:23:49","PET"
"2018-03-09 13:23:49","PET"
"2018-03-09 13:23:49","VAL"
"2018-03-09 13:23:48","PER"
"2018-03-09 13:23:47","PER"
"2018-03-09 13:23:45","VAL"
"2018-03-09 13:23:45","PER"
"2018-03-09 13:23:44","PET"
"2018-03-09 13:23:44","VAL"
"2018-03-09 13:23:43","PET"
"2018-03-09 13:23:43","VAL"
"2018-03-09 13:23:42","PER"
"2018-03-09 13:23:41","PET"
"2018-03-09 13:23:40","PER"
"2018-03-09 13:23:39","VAL"
"2018-03-09 13:23:39","PER"
"2018-03-09 13:23:38","PET"
"2018-03-09 13:23:37","PER"
"2018-03-09 13:23:37","VAL"
"2018-03-09 13:23:36","PET"
"2018-03-09 13:23:36","VAL"
"2018-03-09 13:23:35","PER"
"2018-03-09 13:23:35","VAL"
"2018-03-09 13:23:34","PET"
"2018-03-09 13:23:34","PER"
"2018-03-09 13:23:33","PET"
"2018-03-09 13:23:30","VAL"
"2018-03-09 13:23:30","VAL"
"2018-03-09 13:23:30","PER"
"2018-03-09 13:23:29","PER"
"2018-03-09 13:23:29","PER"
"2018-03-09 13:23:29","PET"
